phase,iteration,kind,wall_ms,gpu_ms,driver_ms,checksum
0,0,slabs,684.585000,0.013125,683.521750,362192065536
0,1,small,0.389000,0.011791,0.181875,103483447296
0,2,slabs,684.771000,0.010584,683.770208,1603993433088
0,3,small,0.281000,0.011250,0.078750,103483447296
0,4,slabs,229.034000,0.013625,228.267083,1052081714176
0,5,small,0.269000,0.010792,0.077875,103483447296
0,6,slabs,226.538000,0.013000,225.672958,1397026538496
0,7,small,0.267000,0.010834,0.069875,103483447296
0,8,slabs,256.071000,0.012875,255.331125,1741971362816
0,9,small,0.262000,0.011375,0.067250,103483447296
0,10,slabs,226.239000,0.013000,225.374542,1190059643904
0,11,small,0.286000,0.011083,0.081625,103483447296
0,12,slabs,284.960000,0.013417,284.096084,2431861011456
0,13,small,0.263000,0.011250,0.069875,103483447296
0,14,slabs,262.161000,0.012875,261.410959,983092749312
0,15,small,0.226000,0.011208,0.039000,103483447296
0,16,slabs,258.342000,0.013375,257.519125,2224894116864
0,17,small,0.235000,0.011667,0.047500,103483447296
0,18,slabs,245.338000,0.012833,244.584625,776125854720
0,19,small,0.245000,0.011625,0.046125,103483447296
0,20,slabs,233.212000,0.013125,232.383750,2017927222272
0,21,small,0.228000,0.010875,0.041167,103483447296
0,22,slabs,283.379000,0.013042,282.521875,569158960128
0,23,small,0.224000,0.011042,0.038250,103483447296
1,0,slabs,1775.149000,0.013375,1774.253125,362192065536
1,1,small,0.375000,0.011708,0.174375,103483447296
1,2,slabs,0.199000,0.008375,0.036250,1603993433088
1,3,small,0.195000,0.007000,0.036083,103483447296
1,4,slabs,0.206000,0.006625,0.031875,1052081714176
1,5,small,0.176000,0.006375,0.030375,103483447296
1,6,slabs,0.184000,0.006833,0.029708,1397026538496
1,7,small,0.176000,0.006333,0.029125,103483447296
1,8,slabs,0.188000,0.007000,0.041666,1741971362816
1,9,small,0.174000,0.006292,0.029583,103483447296
1,10,slabs,0.174000,0.006833,0.030667,1190059643904
1,11,small,0.172000,0.006250,0.029625,103483447296
1,12,slabs,0.183000,0.006917,0.029375,2431861011456
1,13,small,0.181000,0.006250,0.035125,103483447296
1,14,slabs,0.175000,0.006750,0.030500,983092749312
1,15,small,0.175000,0.006208,0.028833,103483447296
1,16,slabs,0.161000,0.007000,0.023041,2224894116864
1,17,small,0.156000,0.006250,0.021583,103483447296
1,18,slabs,0.148000,0.006000,0.023041,776125854720
1,19,small,0.190000,0.006333,0.031834,103483447296
1,20,slabs,0.190000,0.006000,0.025959,2017927222272
1,21,small,0.189000,0.006333,0.028125,103483447296
1,22,slabs,0.192000,0.005958,0.033000,569158960128
1,23,small,0.176000,0.006375,0.027500,103483447296
2,0,slabs,0.177000,0.005750,0.025625,362192065536
2,1,small,0.180000,0.006250,0.027500,103483447296
2,2,slabs,0.184000,0.006000,0.028000,1603993433088
2,3,small,0.185000,0.006375,0.028000,103483447296
2,4,slabs,0.180000,0.006000,0.026250,1052081714176
2,5,small,0.176000,0.006500,0.026084,103483447296
2,6,slabs,0.179000,0.005833,0.026250,1397026538496
2,7,small,0.177000,0.006208,0.025750,103483447296
2,8,slabs,0.182000,0.005875,0.027125,1741971362816
2,9,small,0.180000,0.006750,0.027041,103483447296
2,10,slabs,0.180000,0.006167,0.028042,1190059643904
2,11,small,0.178000,0.006250,0.027000,103483447296
2,12,slabs,0.181000,0.006375,0.028042,2431861011456
2,13,small,0.176000,0.006667,0.026917,103483447296
2,14,slabs,0.181000,0.006375,0.026625,983092749312
2,15,small,0.174000,0.006250,0.026875,103483447296
2,16,slabs,0.177000,0.005917,0.027000,2224894116864
2,17,small,0.169000,0.006209,0.024000,103483447296
2,18,slabs,0.174000,0.005875,0.024875,776125854720
2,19,small,0.175000,0.006250,0.026000,103483447296
2,20,slabs,0.175000,0.005958,0.026458,2017927222272
2,21,small,0.174000,0.006333,0.026584,103483447296
2,22,slabs,0.174000,0.005875,0.027083,569158960128
2,23,small,0.175000,0.006041,0.026375,103483447296
3,0,slabs,0.177000,0.005667,0.027125,362192065536
3,1,small,0.277000,0.006041,0.026583,103483447296
3,2,slabs,0.184000,0.005833,0.027750,1603993433088
3,3,small,0.179000,0.006375,0.026833,103483447296
3,4,slabs,0.182000,0.005875,0.027250,1052081714176
3,5,small,0.176000,0.006458,0.026875,103483447296
3,6,slabs,0.180000,0.005792,0.027667,1397026538496
3,7,small,0.180000,0.006500,0.026583,103483447296
3,8,slabs,0.181000,0.006000,0.027250,1741971362816
3,9,small,0.176000,0.006375,0.026792,103483447296
3,10,slabs,0.179000,0.006000,0.027750,1190059643904
3,11,small,0.178000,0.006375,0.024708,103483447296
3,12,slabs,0.176000,0.005750,0.024750,2431861011456
3,13,small,0.176000,0.006375,0.025250,103483447296
3,14,slabs,0.181000,0.005875,0.027250,983092749312
3,15,small,0.179000,0.006250,0.026625,103483447296
3,16,slabs,0.182000,0.005792,0.027375,2224894116864
3,17,small,0.180000,0.006250,0.026375,103483447296
3,18,slabs,0.182000,0.005917,0.028250,776125854720
3,19,small,0.173000,0.006125,0.026000,103483447296
3,20,slabs,0.171000,0.005875,0.026375,2017927222272
3,21,small,0.171000,0.006250,0.026125,103483447296
3,22,slabs,0.166000,0.005958,0.022292,569158960128
3,23,small,0.166000,0.006375,0.021250,103483447296
